h,₁Hydrogen
he,₂Helium
li,₃Lithium
be,₄Beryllium
b,₅Boron
c,₆Carbon
n,₇Nitrogen
o,₈Oxygen
f,₉Fluorine
ne,₁₀Neon
na,₁₁Sodium
mg,₁₂Magnesium
al,₁₃Aluminum
si,₁₄Silicon
p,₁₅Phosphorus
s,₁₆Sulfur
cl,₁₇Chlorine
ar,₁₈Argon
k,₁₉Potassium
ca,₂₀Calcium
sc,₂₁Scandium
ti,₂₂Titanium
v,₂₃Vanadium
cr,₂₄Chromium
mn,₂₅Manganese
fe,₂₆Iron
co,₂₇Cobalt
ni,₂₈Nickel
cu,₂₉Copper
zn,₃₀Zinc
ga,₃₁Gallium
ge,₃₂Germanium
as,₃₃Arsenic
se,₃₄Selenium
br,₃₅Bromine
kr,₃₆Krypton
rb,₃₇Rubidium
sr,₃₈Strontium
y,₃₉Yttrium
zr,₄₀Zirconium
nb,₄₁Niobium
mo,₄₂Molybdenum
tc,₄₃Technetium
ru,₄₄Ruthenium
rh,₄₅Rhodium
pd,₄₆Palladium
ag,₄₇Silver
cd,₄₈Cadmium
in,₄₉Indium
sn,₅₀Tin
sb,₅₁Antimony
te,₅₂Tellurium
i,₅₃Iodine
xe,₅₄Xenon
cs,₅₅Cesium
ba,₅₆Barium
la,₅₇Lanthanum
ce,₅₈Cerium
pr,₅₉Praseodymium
nd,₆₀Neodymium
pm,₆₁Promethium
sm,₆₂Samarium
eu,₆₃Europium
gd,₆₄Gadolinium
tb,₆₅Terbium
dy,₆₆Dysprosium
ho,₆₇Holmium
er,₆₈Erbium
tm,₆₉Thulium
yb,₇₀Ytterbium
lu,₇₁Lutetium
hf,₇₂Hafnium
ta,₇₃Tantalum
w,₇₄Tungsten
re,₇₅Rhenium
os,₇₆Osmium
ir,₇₇Iridium
pt,₇₈Platinum
au,₇₉Gold
hg,₈₀Mercury
tl,₈₁Thallium
pb,₈₂Lead
bi,₈₃Bismuth
po,₈₄Polonium
at,₈₅Astatine
rn,₈₆Radon
fr,₈₇Francium
ra,₈₈Radium
ac,₈₉Actinium
th,₉₀Thorium
pa,₉₁Protactinium
u,₉₂Uranium
np,₉₃Neptunium
pu,₉₄Plutonium
am,₉₅Americium
cm,₉₆Curium
bk,₉₇Berkelium
cf,₉₈Californium
es,₉₉Einsteinium
fm,₁₀₀Fermium
md,₁₀₁Mendelevium
no,₁₀₂Nobelium
lr,₁₀₃Lawrencium
rf,₁₀₄Rutherfordium
db,₁₀₅Dubnium
sg,₁₀₆Seaborgium
bh,₁₀₇Bohrium
hs,₁₀₈Hassium
mt,₁₀₉Meitnerium
ds,₁₁₀Darmstadtium
rg,₁₁₁Roentgenium
cn,₁₁₂Copernicium
nh,₁₁₃Nihonium
fl,₁₁₄Flerovium
mc,₁₁₅Moscovium
lv,₁₁₆Livermorium
ts,₁₁₇Tennessine
og,₁₁₈Oganesson
h2,Hydrogen(g)
n2,Nitrogen(g)
fl,Fluorine(g)
o2,Oxygen(g)
i2,Iodine(g)
cl2,Chlorine(g)
br2,Bromine(g)
hydrogen,₁H
helium,₂He
lithium,₃Li
beryllium,₄Be
boron,₅B
carbon,₆C
nitrogen,₇N
oxygen,₈O
fluorine,₉F
neon,₁₀Ne
sodium,₁₁Na
magnesium,₁₂Mg
aluminum,₁₃Al
silicon,₁₄Si
phosphorus,₁₅P
sulfur,₁₆S
chlorine,₁₇Cl
argon,₁₈Ar
potassium,₁₉K
calcium,₂₀Ca
scandium,₂₁Sc
titanium,₂₂Ti
vanadium,₂₃V
chromium,₂₄Cr
manganese,₂₅Mn
iron,₂₆Fe
cobalt,₂₇Co
nickel,₂₈Ni
copper,₂₉Cu
zinc,₃₀Zn
gallium,₃₁Ga
germanium,₃₂Ge
arsenic,₃₃As
selenium,₃₄Se
bromine,₃₅Br
krypton,₃₆Kr
rubidium,₃₇Rb
strontium,₃₈Sr
yttrium,₃₉Y
zirconium,₄₀Zr
niobium,₄₁Nb
molybdenum,₄₂Mo
technetium,₄₃Tc
ruthenium,₄₄Ru
rhodium,₄₅Rh
palladium,₄₆Pd
silver,₄₇Ag
cadmium,₄₈Cd
indium,₄₉In
tin,₅₀Sn
antimony,₅₁Sb
tellurium,₅₂Te
iodine,₅₃I
xenon,₅₄Xe
cesium,₅₅Cs
barium,₅₆Ba
lanthanum,₅₇La
cerium,₅₈Ce
praseodymium,₅₉Pr
neodymium,₆₀Nd
promethium,₆₁Pm
samarium,₆₂Sm
europium,₆₃Eu
gadolinium,₆₄Gd
terbium,₆₅Tb
dysprosium,₆₆Dy
holmium,₆₇Ho
erbium,₆₈Er
thulium,₆₉Tm
ytterbium,₇₀Yb
lutetium,₇₁Lu
hafnium,₇₂Hf
tantalum,₇₃Ta
tungsten,₇₄W
rhenium,₇₅Re
osmium,₇₆Os
iridium,₇₇Ir
platinum,₇₈Pt
gold,₇₉Au
mercury,₈₀Hg
thallium,₈₁Tl
lead,₈₂Pb
bismuth,₈₃Bi
polonium,₈₄Po
astatine,₈₅At
radon,₈₆Rn
francium,₈₇Fr
radium,₈₈Ra
actinium,₈₉Ac
thorium,₉₀Th
protactinium,₉₁Pa
uranium,₉₂U
neptunium,₉₃Np
plutonium,₉₄Pu
americium,₉₅Am
curium,₉₆Cm
berkelium,₉₇Bk
californium,₉₈Cf
einsteinium,₉₉Es
fermium,₁₀₀Fm
mendelevium,₁₀₁Md
nobelium,₁₀₂No
lawrencium,₁₀₃Lr
rutherfordium,₁₀₄Rf
dubnium,₁₀₅Db
seaborgium,₁₀₆Sg
bohrium,₁₀₇Bh
hassium,₁₀₈Hs
meitnerium,₁₀₉Mt
darmstadtium,₁₁₀Ds
roentgenium,₁₁₁Rg
copernicium,₁₁₂Cn
nihonium,₁₁₃Nh
flerovium,₁₁₄Fl
moscovium,₁₁₅Mc
livermorium,₁₁₆Lv
tennessine,₁₁₇Ts
oganesson,₁₁₈Og
hydrogen(g),H₂
nitrogen(g),N₂
fluorine(g),F₂
oxygen(g),O₂
iodine(g),I₂
chlorine(g),Cl₂
bromine(g),Br₂
alsb,Aluminium antimonide
alaso4.8h2o,Aluminium arsenate
alas,Aluminium arsenide
alb2,Aluminium boride
albr3,Aluminium bromide
al4c3,Aluminium carbide
ali3,Aluminium iodide
aln,Aluminium nitride
al2o3,Aluminium oxide
alp,Aluminium phosphide
alcl3,Aluminium chloride
alf3,Aluminium fluoride
al(oh)3,Aluminium hydroxide
al(no3)3,Aluminium nitrate
al2s3,Aluminium sulfide
al2(so4)3,Aluminium sulfate
alk(so4)2,Aluminium potassium sulfate
nh3,Ammonia
nh4n3,Ammonium azide
nh4hco3,Ammonium bicarbonate
nh4hso4,Ammonium bisulfate
(nh4)2cro4,Ammonium chromate
(nh4)2ce(no3)6,Ammonium cerium nitrate
(nh4)4ce(so4)4,Ammonium cerium sulfate
nh4cl,Ammonium chloride
nh4clo3,Ammonium chlorate
nh4cn,Ammonium cyanide
(nh4)2cr2o7,Ammonium dichromate
nh4h2po4,Ammonium dihydrogen phosphate
nh4oh,Ammonium hydroxide
(nh4)2(ptcl6),Ammonium hexachloroplatinate
nh4no3,Ammonium nitrate
